review_id,customer_id,book_id,rating,review_text,created_at
1412,2568,5,2,Overrated. I did not enjoy the characters at all.,08-07-2024 10:42
2964,2333,3,4,"Good book, though the ending felt a little rushed.",01-12-2024 09:13
3657,1499,7,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,05-03-2022 11:40
4996,1916,1,4,"Good book, though the ending felt a little rushed.",28-05-2021 17:06
3919,992,31,4,"Good book, though the ending felt a little rushed.",19-09-2024 18:51
4676,1107,1,3,Neither great nor terrible. Passes the time.,09-01-2022 20:14
5289,165,6,4,Mostly great. The middle section drags a bit.,30-10-2024 17:43
2642,2470,12,4,"Good book, though the ending felt a little rushed.",19-06-2021 16:36
4608,1596,1,4,Well-written and engaging. A few plot holes but forgivable.,26-02-2023 15:14
5475,1062,23,5,I finished this in two sittings. Absolutely riveting.,04-02-2024 18:57
525,1940,1,5,The writing is exceptional and the story gripped me from page one.,05-12-2022 15:40
3097,2002,2,4,Above average. Would recommend to fans of the genre.,28-02-2023 09:42
2665,2095,5,5,Exceeded all my expectations. Truly extraordinary.,07-07-2023 23:04
2009,2621,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,22-07-2022 10:54
613,2663,1,3,It was okay. The hype around this book is a bit overstated.,31-12-2024 07:24
2257,2485,2,4,Well-written and engaging. A few plot holes but forgivable.,13-02-2024 21:14
5433,2330,4,3,,19-10-2023 16:02
2533,1710,2,5,Perfect blend of story and insight. Will read again.,30-01-2023 18:52
2981,442,2,4,Liked it. The first half is stronger than the second.,09-12-2024 16:39
883,1988,3,3,Decent read. Not my favourite but not bad either.,01-11-2022 04:42
5232,1042,3,3,Had potential but did not quite deliver on its promise.,04-09-2024 23:17
3196,29,8,2,Struggled to get through it. The story meanders endlessly.,29-04-2024 22:35
174,771,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,25-09-2022 08:13
4435,1409,1,5,The writing is exceptional and the story gripped me from page one.,13-02-2024 06:13
2067,2487,15,3,It was okay. The hype around this book is a bit overstated.,12-10-2020 20:48
245,1694,5,3,Decent read. Not my favourite but not bad either.,14-10-2021 17:58
3637,136,1,4,Above average. Would recommend to fans of the genre.,22-10-2022 07:10
506,2034,1,3,Neither great nor terrible. Passes the time.,13-04-2020 06:52
930,2094,2,4,A very good read overall. Some chapters were slow but worth it.,23-06-2023 09:09
1827,2129,1,4,A very good read overall. Some chapters were slow but worth it.,18-03-2024 21:08
